longitude,latitude,OBJECTID,market_settlement_name,product_description,secondary_editor,editor,other_market_type_goods,market_type_goods,source,timestamp,market_name,market_days_monday,market_days_tuesday,market_days_wednesday,market_days_thursday,market_days_friday,market_days_saturday,market_days_sunday,total_market_days,wardcode,id,lat,lon
10.06075,9.07536,110732,Mavo Square,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Mavo Market Square,,,,,,,,,PLSWAS14,110732,9.08,10.06
10.06808,9.07546,110733,Cattle Mavo,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Cattle Market Mavo,,,,,,,,,PLSWAS14,110733,9.08,10.07
10.57359,9.23858,110734,Kampani Square,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Kampani Market Square,,,,,,,,,PLSWAS08,110734,9.24,10.57
10.31335,9.29037,110735,Gaji Square,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Gaji Market Square,,,,,,,,,PLSWAS15,110735,9.29,10.31
10.27204,9.39681,110736,Luli Square,,,racheal.olarewaju,,,OSGOF,2017/08/25 02:04:38+00,Luli Market Square,,,,,,,,,PLSWAS20,110736,9.4,10.27
7.97397,6.72288,110737,Odoken,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Odoken Market,,,,,,,,,BNSGMU10,110737,6.72,7.97
8.03941,6.86069,110738,Rijo,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Rijo Market,,,,,,,,,BNSGMU07,110738,6.86,8.04
7.82358,7.96697,110739,Oweto,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Oweto Market,,,,,,,,,BNSGTU10,110739,7.97,7.82
8.98825,7.58754,110740,Anbar 2,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Anbar II Market,,,,,,,,,BNSBKB11,110740,7.59,8.99
9.02063,7.51444,110741,Mbaanom I,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbaanom I Market,,,,,,,,,BNSBKB11,110741,7.51,9.02
9.15311,7.44234,110742,Mbakyusa,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbakyusa Market,,,,,,,,,BNSBKB05,110742,7.44,9.15
9.21795,7.20507,110743,Abwa Town,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Abwa Town Market,,,,,,,,,BNSBKB04,110743,7.21,9.22
9.32451,7.38054,110744,Uga,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Uga Market,,,,,,,,,BNSBKB06,110744,7.38,9.32
8.73736,7.22276,110745,Mbazenke,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbazenke Market,,,,,,,,,BNSGBK08,110745,7.22,8.74
8.8541,7.2967,110746,Mbashavkaa,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbashavkaa Market,,,,,,,,,BNSGBK08,110746,7.3,8.85
8.86878,7.36806,110747,Abetse,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Abetse Market,,,,,,,,,BNSGBK12,110747,7.37,8.87
8.94075,7.47587,110748,Mbakater,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbakater Market,,,,,,,,,BNSGBK14,110748,7.48,8.94
9.14367,7.30891,110749,Mbaashima,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbaashima Market,,,,,,,,,BNSGBK05,110749,7.31,9.14
8.52177,8.10334,110750,Udei,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Udei Market,,,,,,,,,BNSYGJ07,110750,8.1,8.52
8.80857,7.96387,110751,Kaseyo,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Kaseyo Market,,,,,,,,,BNSYGJ10,110751,7.96,8.81
8.89743,8.02665,110752,Torkuka Settlement,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Torkuka Settlement Market,,,,,,,,,BNSYGJ04,110752,8.03,8.9
8.96275,7.72154,110753,Tyulen,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Tyulen Market,,,,,,,,,BNSYGJ02,110753,7.72,8.96
8.34819,7.18558,110754,Kpaatu,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Kpaatu Market,,,,,,,,,BNSALD05,110754,7.19,8.35
8.43305,7.09333,110755,Adeji,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Adeji Market,,,,,,,,,BNSALD01,110755,7.09,8.43
9.36341,7.22303,110756,Yav Uji,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Yav Uji Market,,,,,,,,,BNSKAL01,110756,7.22,9.36
9.39261,7.12708,110757,Mbanyiashe,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbanyiashe Market,,,,,,,,,BNSKAL08,110757,7.13,9.39
9.44312,7.30314,110758,Mbadajo,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Mbadajo Market,,,,,,,,,BNSKAL03,110758,7.3,9.44
9.57909,7.22066,110759,Harga,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Harga Market,,,,,,,,,BNSKAL04,110759,7.22,9.58
9.7908,7.44694,110760,Senga,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Senga Market,,,,,,,,,BNSUKM13,110760,7.45,9.79
8.57086,7.14325,110761,Gungul,,,racheal.olarewaju,,,OSGOF,2017/07/13 04:25:58+00,Gungul Market,,,,,,,,,BNSTSE03,110761,7.14,8.57
